NBA FB,NBA Ref,Ratio
MarShon Brooks,Aaron Brooks,0.8461538461538461
Marvin Williams,Alan Williams,0.7857142857142857
Andrew Harrison,Andre Roberson,0.6896551724137931
Aaron Holiday,Arron Afflalo,0.5384615384615384
Ben McLemore,Ben Moore,0.7619047619047619
Troy Brown,Bobby Brown,0.7619047619047619
Brandon Ingram,Brandon Paul,0.6923076923076923
Damian Lillard,Darrun Hilliard,0.6896551724137931
Johnathan Motley,Donatas Motiejunas,0.5882352941176471
Eric Gordon,Eric Moreland,0.6666666666666666
Patrick McCaw,Erik McCree,0.5833333333333334
Georges Niang,George King,0.8333333333333334
Clint Capela,Gian Clavell,0.5833333333333334
G. Yabusele,Guerschon Yabusele,0.6896551724137931
Issac Humphries,Isaac Humphries,0.9333333333333333
Isaiah Briscoe,Isaiah Hicks,0.6923076923076923
JJ Redick,J.J. Redick,0.9
Trae Young,James Young,0.7619047619047619
Joel Embiid,Joel Bolomboy,0.5833333333333334
Jordan Bell,Jordan Sibert,0.6666666666666666
Josh Hart,Josh Gray,0.6666666666666666
Carmelo Anthony,KarlAnthony Towns,0.625
Kyrie Irving,Kristaps Porzingis,0.5333333333333333
Kyle Lowry,Kyle Collinsworth,0.5925925925925926
Marvin Williams,Matt Williams,0.7857142857142857
Milos Teodosic,Mirza Teletovic,0.5517241379310345
Andrew Harrison,Nene Hilario,0.5925925925925926
Darren Collison,Nick Collison,0.6428571428571429
Daniel Theis,Nigel Hayes,0.5217391304347826
PJ Tucker,P.J. Tucker,0.9
Stanley Johnson,Scotty Hopson,0.5714285714285714
Shabazz Napier,Shabazz Muhammad,0.6
S. GilgeousAlexander,Shai GilgeousAlexander,0.9047619047619048
Shaq Harrison,Shaquille Harrison,0.8387096774193549
S. Mykhailiuk,Sviatoslav Mykhailiuk,0.7058823529411765
TJ McConnell,T.J. McConnell,0.9230769230769231
Rodney Hood,Timofey Mozgov,0.48
Timothe Luwawu,Timothe LuwawuCabarrot,0.7777777777777778
Tony Snell,Tony Allen,0.7
Terrence Jones,Trey McKinneyJones,0.625
Tyler Ulis,Tyler Davis,0.7619047619047619
Walter Lemon Jr.,Walt Lemon,0.7692307692307693
Wes Iwundu,Wesley Iwundu,0.8695652173913043
Markieff Morris,Xavier Munford,0.4827586206896552
Davis Bertans,Xavier RathanMayes,0.5806451612903226
Zach LaVine,Zach Randolph,0.5833333333333334
Jaren Jackson,Aaron Jackson,0.8461538461538461
Bradley Wanamaker,Brad Wanamaker,0.9032258064516129
C. Hutchison,Chandler Hutchison,0.7333333333333333
Chris Boucher,Chris McCullough,0.6206896551724138
Rawle Alkins,Cole Aldrich,0.5
Marvin Williams,Damien Wilkins,0.6206896551724138
Andrew Wiggins,DeAndre Liggins,0.8275862068965517
Derrick White,Derrick Walton,0.7407407407407407
Devonte Graham,Donte Grantham,0.8571428571428571
Dwight Powell,Dwight Buycks,0.5384615384615384
Jamal Murray,Dzanan Musa,0.5217391304347826
Georges Niang,Georgios Papagiannis,0.6060606060606061
Jose Juan Barea,J.J. Barea,0.64
Jabari Parker,Jabari Bird,0.6666666666666666
Mike Conley,Jack Cooley,0.6363636363636364
Malcolm Miller,Jacob Wiley,0.56
James Harden,Jameel Warney,0.64
Jaren Jackson,Jarrett Jack,0.72
Jeremy Lin,Jeremy Evans,0.7272727272727273
Jose Calderon,Joe Chealey,0.6666666666666666
J. Williams,Johnathan Williams,0.6896551724137931
Thomas Bryant,Johnny OBryant,0.5925925925925926
Jordan McRae,Jordan Mickey,0.8
Josh Hart,Josh Magette,0.6666666666666666
Jalen Jones,Julyan Stone,0.6086956521739131
Kevin Durant,Kalin Lucas,0.5217391304347826
Kenrich Williams,Kendrick Perkins,0.5625
Kyle Anderson,Kyle Singler,0.64
Gary Trent,Larry Drew,0.6
Larry Nance Jr.,Larry Nance,0.8461538461538461
Luka Doncic,Luka Donic,0.9523809523809523
Ian Mahinmi,Mangok Mathiang,0.6153846153846154
LaMarcus Aldridge,Marcus Paige,0.6896551724137931
Wilson Chandler,Mario Chalmers,0.6206896551724138
Mason Plumlee,Marshall Plumlee,0.7586206896551724
M. CarterWilliams,Michael CarterWilliams,0.8205128205128205
Mike Conley,Milton Doyle,0.5217391304347826
Mohamed Bamba,Mo Bamba,0.7619047619047619
Shake Milton,Naz MitrouLong,0.5384615384615384
Nicolas Batum,Nicolas Brussino,0.6896551724137931
Derrick White,Okaro White,0.5833333333333334
Pat Connaughton,Rashad Vaughn,0.5
Reggie Jackson,Reggie Hearn,0.6923076923076923
R. HollisJefferson,Rondae HollisJefferson,0.85
Ian Clark,Sean Kilpatrick,0.5833333333333334
Shaq Harrison,Shane Larkin,0.64
DeMarre Carroll,Tahjere McCall,0.5517241379310345
Gary Clark,Tarik Black,0.5714285714285714
Tim Frazier,Tim Quarterman,0.56
Troy Daniels,Troy Caupain,0.5833333333333334
Vincent Edwards,Vince Edwards,0.9285714285714286
W. CauleyStein,Willie CauleyStein,0.8125
Jarell Martin,Yante Maten,0.5833333333333334
Aron Baynes,Adreian Payne,0.6666666666666666
Amile Jefferson,Al Jefferson,0.8888888888888888
Andrew Wiggins,Andrew White,0.6923076923076923
DAngelo Russell,Angel Delgado,0.5714285714285714
Antonio Blakeney,Antonius Cleveland,0.5882352941176471
Brandon Knight,Brandan Wright,0.7857142857142857
Brandon Knight,Brandon Jennings,0.7333333333333333
CJ Miles,C.J. Miles,0.8888888888888888
Nerlens Noel,Charles Cooke,0.56
Chris Paul,Chinanu Onuaku,0.5
Lance Stephenson,D.J. Stephens,0.6206896551724138
Amir Johnson,Dakari Johnson,0.6923076923076923
Jarell Martin,Darrell Arthur,0.5925925925925926
David West,David Stockton,0.5833333333333334
Damion Lee,Davon Reed,0.7
Jonas Valanciunas,Dusty Hannahs,0.4666666666666667
Elfrid Payton,Gary Payton,0.6666666666666666
G. Antetokounmpo,Giannis Antetokounmpo,0.8108108108108109
I. Hartenstein,Isaiah Hartenstein,0.8125
Isaiah Thomas,Isaiah Taylor,0.6923076923076923
Isaiah Thomas,Isaiah Whitehead,0.6206896551724138
Jakob Poeltl,Jacob Pullen,0.6666666666666666
Josh Richardson,James Michael McAdoo,0.5142857142857142
D.J. Wilson,Jamil Wilson,0.6956521739130435
Jarell Martin,Jarell Eddie,0.64
Emanuel Terry,Jason Terry,0.6666666666666666
Jeff Green,Jeff Withey,0.5714285714285714
Trae Young,Joe Young,0.7368421052631579
John Collins,John Holland,0.75
Jonathon Simmons,Jonathan Gibson,0.7096774193548387
Josh Hart,Josh McRoberts,0.6086956521739131
K. Antetokounmpo,Kostas Antetokounmpo,0.8333333333333334
Quincy Pondexter,Luis Montero,0.5714285714285714
Luke Kornet,Luke Babbitt,0.5217391304347826
Malcolm Miller,Malcolm Delaney,0.6896551724137931
Marvin Williams,Manu Ginxc3xb3bili,0.42424242424242425
Marcus Morris,Marcus GeorgesHunt,0.6451612903225806
Bruce Brown,Markel Brown,0.6956521739130435
Marvin Bagley,Marquis Teague,0.5925925925925926
Marquese Chriss,Marreese Speights,0.5625
DeMarre Carroll,Matt Costello,0.5
M. KiddGilchrist,Michael KiddGilchrist,0.8108108108108109
Meyers Leonard,Myke Henry,0.5833333333333334
Rodney McGruder,Rodney Purvis,0.6428571428571429
Taurean Prince,Taurean WallerPrince,0.8235294117647058
Thabo Sefolosha,Thomas Welsh,0.5925925925925926
Tim Hardaway Jr.,Tim Hardaway,0.8571428571428571
Davis Bertans,Travis Wear,0.5833333333333334
Tyler Lydon,Tyler Cavanaugh,0.5384615384615384
Danuel House,Vander Blue,0.5217391304347826
G. Hernangomez,Willy Hernangomez,0.7741935483870968
Demetrius Jackson,xc3x96mer Axc5x9fxc4xb1k,0.2926829268292683
Theo Pinson,Zhou Qi,0.4444444444444444
Andrew Harrison,Aaron Harrison,0.7586206896551724
Alec Burks,Alec Peters,0.6666666666666666
Troy Brown,Anthony Brown,0.6956521739130435
Dragan Bender,Briante Weber,0.5384615384615384
Alize Johnson,Brice Johnson,0.7692307692307693
Chris Paul,Chris Chiozza,0.6086956521739131
Dairis Bertans,Dairis Bertxc4x81ns,0.7878787878787878
Deonte Burton,Dejounte Murray,0.6428571428571429
Dennis Smith Jr.,Dennis Smith,0.8571428571428571
Daniel Hamilton,Denzel Valentine,0.5806451612903226
Derrick Jones Jr.,Derrick Jones,0.8666666666666667
Kenrich Williams,Derrick Williams,0.8125
ETwaun Moore,DeVaughn AkoonPurcell,0.48484848484848486
D. FinneySmith,Dorian FinneySmith,0.8125
Jahlil Okafor,Emeka Okafor,0.64
Jason Smith,Haywood Highsmith,0.5
Andrew Bogut,Ike Anigbogu,0.4166666666666667
Jamal Murray,J.P. Macura,0.5217391304347826
Jakob Poeltl,Jakob Poltl,0.9565217391304348
James Johnson,Jameer Nelson,0.6153846153846154
Jarell Martin,Jamel Artis,0.6666666666666666
James Harden,James Webb,0.6363636363636364
Jalen Jones,Jaylen Morris,0.6666666666666666
Courtney Lee,Joffrey Lauvergne,0.5517241379310345
Jamal Crawford,Jordan Crawford,0.7586206896551724
Josh Hart,Josh Huestis,0.6666666666666666
Ish Smith,Josh Smith,0.8421052631578947
Wayne Selden,Kay Felder,0.6363636363636364
K. CaldwellPope,Kentavious CaldwellPope,0.7368421052631579
Aron Baynes,London Perrantes,0.5185185185185185
Luc Mbah a Moute,Lucas Nogueira,0.5333333333333333
M. Richardson,Malachi Richardson,0.7741935483870968
M. Dellavedova,Matthew Dellavedova,0.7878787878787878
LeBron James,Mike James,0.6363636363636364
DeMarcus Cousins,Mindaugas Kuzminskas,0.5
Jalen Jones,Nate Wolters,0.5217391304347826
Amir Johnson,Omari Johnson,0.8
Paul George,Paul Zipser,0.6363636363636364
RJ Hunter,R.J. Hunter,0.9
Raymond Felton,Ramon Sessions,0.6428571428571429
Amile Jefferson,Richard Jefferson,0.6875
S. Thornwell,Sindarius Thornwell,0.7096774193548387
TJ Leaf,T.J. Leaf,0.875
TJ Warren,T.J. Warren,0.9
Treveon Graham,Trevon Duval,0.6153846153846154
Devin Booker,Trevor Booker,0.72
Tyler Ulis,Tyler Ennis,0.7619047619047619
Vince Carter,Vince Hunter,0.75
Miles Plumlee,Willie Reed,0.5
Marvin Williams,Xavier Silas,0.5925925925925926
Zach LaVine,Zach Lofton,0.6363636363636364
